Stock Name,Ticker,Trendlyne ID,Research Report URL,MarketCap,Industry Name,Sector Name,BSE Ticker
Power Finance Corporation Ltd,PFC,1026,https://trendlyne.com/research-reports/stock/1026/PFC/,1.33E+12,Financial Institutions,Banking and Finance,532810
Union Bank Of India,UNIONBANK,1447,https://trendlyne.com/research-reports/stock/1447/UNIONBANK/,1.31E+12,Banks,Banking and Finance,532477
Britannia Industries Ltd,BRITANNIA,220,https://trendlyne.com/research-reports/stock/220/BRITANNIA/,1.31E+12,,,
Aplab Ltd,APLAB,90,https://trendlyne.com/research-reports/stock/90/APLAB/,0,,,
Tata Capital Ltd,TATACAP,3279131,https://trendlyne.com/research-reports/stock/3279131/TATACAP/,1.31E+12,Finance (including NBFCs),Banking and Finance,544574
Abb India Ltd,ABB,17,https://trendlyne.com/research-reports/stock/17/ABB/,1.30E+12,,,
Pidilite Industries Ltd,PIDILITIND,1037,https://trendlyne.com/research-reports/stock/1037/PIDILITIND/,1.30E+12,,,
Dlf Ltd,DLF,337,https://trendlyne.com/research-reports/stock/337/DLF/,1.29E+12,Realty,Realty,532868
Bank Of Baroda,BANKBARODA,162,https://trendlyne.com/research-reports/stock/162/BANKBARODA/,1.29E+12,Banks,Banking and Finance,532134
Cummins India Ltd,CUMMINSIND,297,https://trendlyne.com/research-reports/stock/297/CUMMINSIND/,1.29E+12,,,
Muthoot Finance Ltd,MUTHOOTFIN,897,https://trendlyne.com/research-reports/stock/897/MUTHOOTFIN/,1.28E+12,Finance (including NBFCs),Banking and Finance,533398
Ltimindtree Ltd,LTM,4596,https://trendlyne.com/research-reports/stock/4596/LTM/,1.28E+12,IT Consulting & Software,Software & Services,540005
Arihant Foundations Housing Ltd,531381,100,https://trendlyne.com/research-reports/stock/100/531381/,0,,,
Trent Ltd,TRENT,1412,https://trendlyne.com/research-reports/stock/1412/TRENT/,1.26E+12,,,
Tata Power Company Ltd,TATAPOWER,1364,https://trendlyne.com/research-reports/stock/1364/TATAPOWER/,1.23E+12,,,
Hdfc Life Insurance Company Ltd,HDFCLIFE,65394,https://trendlyne.com/research-reports/stock/65394/HDFCLIFE/,1.22E+12,Life Insurance,Banking and Finance,540777
